Data: time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
25845.099369841,31.38457276,-100.07969321,20181.57,0.43,8.1,0xa2a
25845.140540057,33.87664668,-101.80378722,64971.96,0.14,-1.4,0xab0
25845.299892812,31.50253289,-100.01369811,8582.36,0.44,10.1,0xa2e
25845.375901143,31.43292856,-100.16279532,16788.74,0.15,11.7,0xb2a
25845.441686244,31.47686093,-100.15282442,13479.8,0.21,14.9,0xb6a
25845.444853811,31.49175562,-100.18412511,18712.79,0.48,6.4,0xa2a
25845.454968648,31.49598523,-100.177414,21585.78,0.29,10.6,0xb2a
25845.460538301,31.4941475,-100.17422222,15896.54,0.2,10.9,0xb2a
25845.465830366,31.50482041,-100.18024245,15685.64,0.32,13.7,0xb2a
25845.468982144,31.50290728,-100.17555599,22317.28,0.03,6.9,0xa2a
25845.511995721,31.3910041,-100.20588082,18641.86,0.02,13.2,0xb2a
25845.52197339,31.40950382,-100.20285719,16230.74,0.45,12.9,0xb2a
25845.523078267,31.34581862,-100.1511524,22397.42,1.92,10.1,0xb2a
25845.969830258,33.59458988,-101.80857754,23305.08,0.61,2.2,0x58c
25845.971936058,31.17799483,-100.14823412,9756.87,0.02,11.8,0x92a
25845.977541713,31.16456779,-100.1692624,11287.95,0.05,10.1,0xb2a
25845.977637225,31.17972975,-100.17918155,18372.53,0.21,13.8,0xb2a
25845.985557486,33.98210023,-101.96046289,35413.83,0.45,5.3,0xd60
